Date,open,high,low,close,adjClose,volume,symbol
1514764800,224.779999,224.850006,222.130005,224.029999,224.029999,804700.0,ILMN
1514851200,224.779999,224.850006,222.130005,224.029999,224.029999,804700.0,ILMN
1514937600,224.5,231.229996,224.270004,230.320007,230.320007,907200.0,ILMN
1515024000,231.830002,233.539993,231.229996,232.990005,232.990005,862500.0,ILMN
1515110400,231.990005,232.899994,225.800003,228.169998,228.169998,1471800.0,ILMN
1515196800,231.990005,232.899994,225.800003,228.169998,228.169998,1471800.0,ILMN
1515283200,231.990005,232.899994,225.800003,228.169998,228.169998,1471800.0,ILMN
1515369600,227.550003,228.899994,225.669998,227.059998,227.059998,1002000.0,ILMN
1515456000,236.770004,245.740005,235.479996,242.800003,242.800003,2713500.0,ILMN
1515542400,242.800003,244.0,238.240005,242.589996,242.589996,982600.0,ILMN
1515628800,243.850006,244.199997,239.320007,240.039993,240.039993,810100.0,ILMN
1515715200,240.949997,245.960007,240.630005,244.720001,244.720001,975800.0,ILMN
1515801600,240.949997,245.960007,240.630005,244.720001,244.720001,975800.0,ILMN
1515888000,240.949997,245.960007,240.630005,244.720001,244.720001,975800.0,ILMN
1515974400,240.949997,245.960007,240.630005,244.720001,244.720001,975800.0,ILMN
1516060800,247.330002,248.970001,241.070007,241.419998,241.419998,1139900.0,ILMN
1516147200,244.479996,244.479996,240.869995,242.050003,242.050003,738300.0,ILMN
1516233600,242.240005,243.899994,240.130005,241.309998,241.309998,770500.0,ILMN
1516320000,242.309998,244.880005,241.440002,243.550003,243.550003,896700.0,ILMN
1516406400,242.309998,244.880005,241.440002,243.550003,243.550003,896700.0,ILMN
1516492800,242.309998,244.880005,241.440002,243.550003,243.550003,896700.0,ILMN
1516579200,245.0,247.630005,242.869995,245.190002,245.190002,709800.0,ILMN
1516665600,244.070007,245.070007,241.949997,242.940002,242.940002,830000.0,ILMN
1516752000,243.119995,243.850006,241.190002,242.490005,242.490005,846000.0,ILMN
1516838400,243.479996,243.970001,240.160004,243.389999,243.389999,613200.0,ILMN
1516924800,244.210007,244.919998,242.089996,244.830002,244.830002,678400.0,ILMN
1517011200,244.210007,244.919998,242.089996,244.830002,244.830002,678400.0,ILMN
1517097600,244.210007,244.919998,242.089996,244.830002,244.830002,678400.0,ILMN
1517184000,244.179993,244.899994,238.509995,241.779999,241.779999,779000.0,ILMN
1517270400,240.690002,243.550003,238.949997,241.179993,241.179993,1063400.0,ILMN
1517356800,247.449997,248.100006,229.160004,232.639999,232.639999,1760500.0,ILMN
1517443200,232.0,233.559998,229.080002,230.289993,230.289993,943900.0,ILMN
1517529600,227.979996,228.990005,219.539993,220.179993,220.179993,1538800.0,ILMN
1517616000,227.979996,228.990005,219.539993,220.179993,220.179993,1538800.0,ILMN
1517702400,227.979996,228.990005,219.539993,220.179993,220.179993,1538800.0,ILMN
1517788800,221.449997,223.539993,212.949997,213.0,213.0,1484000.0,ILMN
1517875200,210.0,221.550003,207.509995,220.800003,220.800003,1759300.0,ILMN
1517961600,218.850006,223.639999,216.770004,221.199997,221.199997,1116000.0,ILMN
1518048000,220.960007,221.0,209.479996,209.539993,209.539993,1299900.0,ILMN
1518134400,211.350006,219.580002,210.080002,217.190002,217.190002,1798300.0,ILMN
1518220800,211.350006,219.580002,210.080002,217.190002,217.190002,1798300.0,ILMN
1518307200,211.350006,219.580002,210.080002,217.190002,217.190002,1798300.0,ILMN
